BRAND,BRAND_ID,BRAND_URL,,Duplicates_note,Duplicates_note
Alterego,423,https://logo.clearbit.com/alterego-lingerie.com,,,
Vajor,422,https://logo.clearbit.com/vajor.com,,,
Drape in Vogue,420,https://logo.clearbit.com/drapeinvogue.com,,,
Dolce & Gabbana,418,https://logo.clearbit.com/dolcegabbana.com,,,
Armani Jeans,416,https://logo.clearbit.com/armani-jeans.fr,,,
BAUME & MERCIER,407,https://logo.clearbit.com/baume-et-mercier.com,,,
Raymond Weil,406,https://logo.clearbit.com/raymond-weil.com,,,
Cartier,398,https://logo.clearbit.com/cartier.fr,,,
Vera Wang,396,https://logo.clearbit.com/verawang.com,,,
Lancel,391,https://logo.clearbit.com/lancel.com,,,
LONGCHAMP,389,https://logo.clearbit.com/longchamp.com,,,
OTAZU,388,https://logo.clearbit.com/rodrigootazu.com,,,
BADGLEY MISCHKA,387,https://logo.clearbit.com/badgleymischka.com,,,
RockStar,386,https://logo.clearbit.com/rockstaroriginal.com,,,
Per una,384,https://logo.clearbit.com/marksandspencer.com,,,
Kazo,383,https://logo.clearbit.com/kazo.com,,,
Crossroads,382,https://logo.clearbit.com/crossroadstrading.com,,,
Zagliani,380,https://logo.clearbit.com/zagliani.com,,,
Marni,378,https://logo.clearbit.com/marni.com,,,
Helmut Lang,375,https://logo.clearbit.com/helmutlang.com,,,
Parah,368,https://logo.clearbit.com/parah.com,,,
Poetry,367,https://logo.clearbit.com/poetryfashion.com,,,
Miss Selfridge,366,https://logo.clearbit.com/missselfridge.com,,,
Loft,365,https://logo.clearbit.com/loft.com,,,
Herve Leger,364,https://logo.clearbit.com/herveleger.com,,,
Good Earth Sustain,363,https://logo.clearbit.com/goodearth.in,,,
Pedro,362,https://logo.clearbit.com/pedroshoes.com,,,
Cache,361,https://logo.clearbit.com/cache.com,,,
Pretty Ballerinas,359,https://logo.clearbit.com/prettyballerinas.com,,,
Tadashi Shoji,358,https://logo.clearbit.com/tadashishoji.com,,,
Tadashi Shoji,357,https://logo.clearbit.com/tadashishoji.jp,,,
Sigerson Morrison,351,https://logo.clearbit.com/sigersonmorrison.com,,,
Gianvito Rossi,350,https://logo.clearbit.com/gianvitorossi.com,,,
Marc Jacobs,349,https://logo.clearbit.com/marcjacobs.com,,,
Raoul,348,https://logo.clearbit.com/raoul.com,,,
Florrie Fusion,346,https://logo.clearbit.com/florrie.com.au,,,
UGG,345,https://logo.clearbit.com/ugg.com,,,
20Dresses,343,https://logo.clearbit.com/20dresses.com,,,
Gap,342,https://logo.clearbit.com/gap.com,,,
Victoria's Secret,341,https://logo.clearbit.com/victoriassecret.com,,,
Punt Roma,338,https://logo.clearbit.com/puntroma.com,,,
Elizabeth & James,337,https://logo.clearbit.com/elizabethandjames.us,,,
Cos,334,https://logo.clearbit.com/cosstores.com,,,
Miss Blumarine,333,https://logo.clearbit.com/blumarine.com,,,
Proenza Schouler,332,https://logo.clearbit.com/proenzaschouler.com,,,
Emilio Pucci,331,https://logo.clearbit.com/emiliopucci.com,,,
Swarovski,324,https://logo.clearbit.com/swarovski.me,,,
Ogaan,323,https://logo.clearbit.com/ogaan.com,,,
Reiss,321,https://logo.clearbit.com/reiss.com,,,
Escada,201,https://logo.clearbit.com/escada.com,,,
Falguni & Shane Peacock,315,https://logo.clearbit.com/falgunishanepeacock.com,,,
Rocky S,314,https://logo.clearbit.com/rockybrands.com,,,
Elie Tahari,313,https://logo.clearbit.com/elietahari.com,,,
Dooney & Bourke,312,https://logo.clearbit.com/dooney.com,,,
Badgely Mischka,311,https://logo.clearbit.com/badgleymischka.com,,,
Style & Co,307,https://logo.clearbit.com/styleco.fr,,,
Aspinal,305,https://logo.clearbit.com/aspinaloflondon.com,,,
Karl Lagerfeld,304,https://logo.clearbit.com/karl.com,,,
Fitflop,303,https://logo.clearbit.com/fitflop.net,,,
Roberto Cavalli,301,https://logo.clearbit.com/robertocavalli.com,,,
Alexander Wang,299,https://logo.clearbit.com/alexanderwang.com,,,
Lanvin,298,https://logo.clearbit.com/lanvin.com,,,
Elle,296,https://logo.clearbit.com/elle.com,,,
Chemistry,295,https://logo.clearbit.com/chemistryindia.com,,,
GIUSEPPE ZANOTTI,294,https://logo.clearbit.com/giuseppezanottidesign.com,,,
Erdem,293,https://logo.clearbit.com/erdem.com,,,
House Of Harlow,286,https://logo.clearbit.com/houseofharlow1960.com,,,
Kate Spade,284,https://logo.clearbit.com/katespade.com,,,
3.1 PHILLIP LIM,283,https://logo.clearbit.com/31philliplim.com,,,
Clarks,282,https://logo.clearbit.com/clarks.com,,,
Stalk Buy Love,280,https://logo.clearbit.com/stalkbuylove.com,,,
Pierre Cardin,279,https://logo.clearbit.com/pierrecardin.fr,,,
Pramod,277,https://logo.clearbit.com/promod.eu,,,
Hush puppies,273,https://logo.clearbit.com/hushpuppies.be,,,
Avirate,272,https://logo.clearbit.com/aviratefashion.com,,,
Mahotsav,271,https://logo.clearbit.com/mahotsavgroup.com,,,
Mochi,270,https://logo.clearbit.com/allthingsmochi.com,,,
Saint Laurent,269,https://logo.clearbit.com/ysl.com,,,
Dune,268,https://logo.clearbit.com/dunelondon.com,,,
Wrangler,267,https://logo.clearbit.com/wrangler.com.ar,,,
Neil Barrett,266,https://logo.clearbit.com/neilbarrett.com,,,
Furla,262,https://logo.clearbit.com/furla.com,,,
Forever21,261,https://logo.clearbit.com/forever21.com,,,
Cole Haan,258,https://logo.clearbit.com/colehaan.com,,,
Burberry,256,https://logo.clearbit.com/burberry.com,,,
Puma,255,https://logo.clearbit.com/puma.com,,,
Superdry,253,https://logo.clearbit.com/superdry.com,,,
Forever New,252,https://logo.clearbit.com/forevernew.com.tr,,,
T.J Maxx,250,https://logo.clearbit.com/tjmaxx.tjx.com,,,
M Missoni,248,https://logo.clearbit.com/m-missoni.com,,,
Givenchy,247,https://logo.clearbit.com/givenchy.com,,,
J.crew,243,https://logo.clearbit.com/jcrew.com,,,
Urban Outfitters,242,https://logo.clearbit.com/urbanoutfitters.com,,,
Sisley,241,https://logo.clearbit.com/sisleyjp.com,,,
Jimmy Choo,240,https://logo.clearbit.com/jimmychoo.com,,,
Net-a-Porter,238,https://logo.clearbit.com/net-a-porter.com,,,
Jean Paul Gailtier,237,https://logo.clearbit.com/jeanpaulgaultier.com,,,
Cherokee,236,https://logo.clearbit.com/cherokeeusa.com,,,
American apparel,235,https://logo.clearbit.com/amerikanapparel.com,,,
Alexander Mcqueen,233,https://logo.clearbit.com/alexandermcqueen.com,,,
Converse,231,https://logo.clearbit.com/converse.com,,,
Vans,230,https://logo.clearbit.com/vans.com,,,
Free people,229,https://logo.clearbit.com/freepeople.com,,,
Nine west,227,https://logo.clearbit.com/ninewest.com,,,
Christian Dior,225,https://logo.clearbit.com/dior.com,,,
Swatch,224,https://logo.clearbit.com/swatch.com,,,
Desigual,223,https://logo.clearbit.com/desigual.com,,,
Zara,222,https://logo.clearbit.com/zara.com,,,
Amrapali,221,https://logo.clearbit.com/amrapalijewels.com,,,
Chloe,220,https://logo.clearbit.com/chloe.com,,,
D&G,219,https://logo.clearbit.com/dolcegabbana.com,,,
Madison,218,https://logo.clearbit.com/madisonlosangeles.com,,,
Diesel,216,https://logo.clearbit.com/diesel.com,,,
Ritika Sachdeva,215,https://logo.clearbit.com/shopritikasachdeva.com,,,
Cath Kidston,213,https://logo.clearbit.com/cathkidston.com,,,
Pull&bear,208,https://logo.clearbit.com/pullandbear.com,,,
Levi's,204,https://logo.clearbit.com/levis.com.au,,,
DKNY,203,https://logo.clearbit.com/dkny.com,,,
Morgan,197,https://logo.clearbit.com/morgandetoi.co.uk,,,
AX Paris,196,https://logo.clearbit.com/axparis.com,,,
Christian Louboutin,195,https://logo.clearbit.com/christianlouboutin.com,,,
Theory,193,https://logo.clearbit.com/theory.com,,,
Wills Lifestyle,192,https://logo.clearbit.com/willslifestyle.com,,,
Alice+Olivia,191,https://logo.clearbit.com/aliceandolivia.jp,,,
Forever unique,188,https://logo.clearbit.com/foreverunique.com,,,
Catwalk,187,https://logo.clearbit.com/catwalk.net.in,,,
Gas,186,https://logo.clearbit.com/gasjeans.com,,,
Gucci,185,https://logo.clearbit.com/gucci.com,,,
Tommy&Hilfiger,184,https://logo.clearbit.com/tommy.com,,,
Jones New york,183,https://logo.clearbit.com/jny.com,,,
Marchesa,182,https://logo.clearbit.com/marchesa.com,,,
Balmain,181,https://logo.clearbit.com/balmain.com,,,
Vivienne westwood,177,https://logo.clearbit.com/viviennewestwood.com,,,
Elie Saab,175,https://logo.clearbit.com/eliesaab.com,,,
Delpozo,174,https://logo.clearbit.com/delpozo.com,,,
Chanel,173,https://logo.clearbit.com/chanel.com,,,
Nike,172,https://logo.clearbit.com/nike.com,,,
French Connection,171,https://logo.clearbit.com/frenchconnection.com,,,
Masaba,170,https://logo.clearbit.com/houseofmasaba.com,,,
Coast,169,https://logo.clearbit.com/coast-stores.com,,,
Versace,168,https://logo.clearbit.com/versace.com,,,
Ted Baker,167,https://logo.clearbit.com/tedbaker.com,,,
Dunhill,166,https://logo.clearbit.com/dunhill.com,,,
Jack wills,164,https://logo.clearbit.com/jackwillsoutlet.com,,,
Bally,162,https://logo.clearbit.com/bally.com,,,
Abercrombie,161,https://logo.clearbit.com/abercrombie.com.tw,,,
Toryburch,160,https://logo.clearbit.com/toryburch.com.mx,,,
Loewe,159,https://logo.clearbit.com/loewe.com,,,
Banana Republic,157,https://logo.clearbit.com/bananarepublic.co,,,
Moschino,156,https://logo.clearbit.com/moschino.com,,,
Esprit,155,https://logo.clearbit.com/esprit.com,,,
Ray-ban,154,https://logo.clearbit.com/ray-ban.com,,,
Hermes,153,https://logo.clearbit.com/hermes.com,,,
The North Face,151,https://logo.clearbit.com/thenorthface.com.au,,,
Dorothy Perkins,150,https://logo.clearbit.com/dorothyperkins.com,,,
ASOS,149,https://logo.clearbit.com/asos.fr,,,
H&M,148,https://logo.clearbit.com/hm.com,,,
Stella Mccartney,146,https://logo.clearbit.com/stellamccartney.com,,,
Aldo,143,https://logo.clearbit.com/aldoshoes.com,,,
Juicy Couture,142,https://logo.clearbit.com/juicycouture.com,,,
Louis Vuitton,141,https://logo.clearbit.com/louisvuitton.com,,,
Kenzo,140,https://logo.clearbit.com/kenzo.com,,,
Lipsy London,138,https://logo.clearbit.com/lipsy.co.uk,,,
United colors of Benetton,137,https://logo.clearbit.com/benetton.jp,,,
H by Hudson,136,https://logo.clearbit.com/hudsonshoes.com,,,
