product_id,listing_price,discount,disc,original_price
4005,18499,29,0.29,25999
4210,11999,57,0.57,27999
4216,16999,68,0.68,53499
4086,18499,29,0.29,25999
3903,11499,49,0.49,22499
3904,7499,46,0.46,13999
3905,8499,39,0.39,13999
3895,10499,36,0.36,16499
3821,8999,36,0.36,13999
4248,36499,50,0.50,72499
4249,50499,50,0.50,100499
3921,11499,38,0.38,18499
3922,12499,39,0.39,20499
3940,27999,59,0.59,68999
3941,19499,59,0.59,47499
3942,15999,58,0.58,38499
4215,18999,69,0.69,60999
3943,19999,58,0.58,47999
5095,9999,26,0.26,13499
5096,10999,39,0.39,17999
5097,10499,46,0.46,19499
5098,8499,47,0.47,15999
5149,16499,39,0.39,26999
5173,5499,27,0.27,7499
5174,7499,29,0.29,10499
5176,12999,58,0.58,30999
5245,14499,38,0.38,23499
5246,48999,59,0.59,120499
5247,60999,59,0.59,150499
5248,48999,60,0.60,121499
5249,55499,59,0.59,136499
5298,60999,49,0.49,120499
5299,20999,48,0.48,40499
5300,20999,48,0.48,40499
5301,20999,38,0.38,33999
5302,33499,50,0.50,66499
5306,33499,50,0.50,66499
5318,40499,50,0.50,80499
5319,17499,38,0.38,27999
5322,40499,50,0.50,80499
5329,31499,59,0.59,77499
5330,43499,60,0.60,107499
5331,40499,59,0.59,99499
5332,30999,59,0.59,76499
5333,26999,59,0.59,66499
5334,35499,70,0.70,116499
5340,50499,70,0.70,166999
4467,24999,49,0.49,48999
4505,11499,38,0.38,18499
4506,11499,38,0.38,18499
4507,11499,38,0.38,18499
4508,11499,38,0.38,18499
4531,13999,58,0.58,32999
4532,13999,58,0.58,32999
4626,9999,49,0.49,19499
4667,12499,39,0.39,20499
4668,12499,39,0.39,20499
4669,12499,39,0.39,20499
4682,12499,38,0.38,19999
4684,9999,26,0.26,13499
4685,14999,29,0.29,20999
4693,17499,39,0.39,28499
4694,20499,48,0.48,39499
4728,22499,59,0.59,54499
4729,24499,60,0.60,60499
4730,12999,48,0.48,24999
